,county,tract,mi_to_dc
0,24031,700101,18.0459976597567
1,24031,700103,17.1029161768854
2,24031,700104,15.8804273028234
3,24031,700105,14.7578604377646
4,24031,700204,24.4526212141079
5,24031,700205,19.781570982187
6,24031,700206,19.7814434550729
7,24031,700207,22.0316164946259
8,24031,700208,22.4901349778268
9,24031,700304,19.0051579877017
10,24031,700306,18.2971765826778
11,24031,700308,19.4133755271452
12,24031,700309,18.5481583021678
13,24031,700310,18.8608274237042
14,24031,700311,21.0169648475938
15,24031,700312,22.4457410791737
16,24031,700400,23.5040636776393
17,24031,700500,22.2497618918966
18,24031,700604,15.3608563286076
19,24031,700606,12.9555752416994
20,24031,700607,12.084954279774
21,24031,700608,11.8302317948777
22,24031,700610,15.556888743253
23,24031,700611,18.8567782193533
24,24031,700613,17.0942345496802
25,24031,700614,16.6665631696592
26,24031,700615,13.8049772628189
27,24031,700616,14.1995221319696
28,24031,700704,12.5462994731409
29,24031,700706,15.6575764616267
30,24031,700710,12.7178030832619
31,24031,700711,12.4988399855413
32,24031,700713,14.7026284735711
33,24031,700715,15.224386798862
34,24031,700716,14.1790488349863
35,24031,700717,13.3046349930118
36,24031,700718,11.8356425691326
37,24031,700719,13.6336240851402
38,24031,700720,13.5958631812771
39,24031,700721,15.2412657432746
40,24031,700722,15.5027396325114
41,24031,700723,14.2723716306391
42,24031,700724,14.0350061534075
43,24031,700810,16.6643361797172
44,24031,700811,15.9509698047779
45,24031,700812,15.4225114513706
46,24031,700813,16.0309411153594
47,24031,700815,17.1824847911576
48,24031,700816,12.7655015293492
49,24031,700817,11.9803699223216
50,24031,700818,17.7775469300931
51,24031,700819,16.8510353060767
52,24031,700820,15.0861785608909
53,24031,700822,14.5996431371341
54,24031,700823,14.5547109085955
55,24031,700824,14.1937446597032
56,24031,700826,13.7146875908692
57,24031,700828,12.8689013258363
58,24031,700829,13.636633567237
59,24031,700830,17.7399521377004
60,24031,700832,16.7065193708393
61,24031,700833,16.8438334526109
62,24031,700834,17.4972694817107
63,24031,700835,17.880037340921
64,24031,700901,9.31288065089416
65,24031,700902,9.20159058110141
66,24031,700903,9.16806565099952
67,24031,700904,7.43523939639453
68,24031,700905,7.02064991336681
69,24031,701001,7.66356341175858
70,24031,701002,8.40876830337624
71,24031,701004,10.4708736926791
72,24031,701005,9.55999607702949
73,24031,701006,9.91946004737649
74,24031,701007,11.0910036154634
75,24031,701101,7.90255476109988
76,24031,701102,7.60448455111136
77,24031,701201,5.44274969211433
78,24031,701202,4.92144044190955
79,24031,701205,6.20989891707238
80,24031,701206,7.82153945406043
81,24031,701210,9.06877261428587
82,24031,701211,10.591503005546
83,24031,701212,10.5638533684894
84,24031,701213,5.40073647365393
85,24031,701214,4.45742027407973
86,24031,701215,5.05390595451961
87,24031,701216,6.01767266131797
88,24031,701218,6.55552372293341
89,24031,701219,6.42931158343184
90,24031,701220,10.1772010284673
91,24031,701221,11.0696745007514
92,24031,701303,9.06303085884622
93,24031,701304,13.1730690364824
94,24031,701306,11.0721845153611
95,24031,701307,12.4628179350046
96,24031,701308,10.1887806286415
97,24031,701312,11.8141603000436
98,24031,701313,10.5901667633838
99,24031,701314,11.1047212789081
100,24031,701315,12.0162980521514
101,24031,701316,12.0981917210566
102,24031,701317,14.5055333160012
103,24031,701407,8.60044858438249
104,24031,701408,10.4474565762169
105,24031,701409,9.1096873343081
106,24031,701410,10.795255173526
107,24031,701414,7.18936451593193
108,24031,701415,7.3443148194605
109,24031,701417,8.3206024474677
110,24031,701418,7.71388780092307
111,24031,701420,6.98388420452853
112,24031,701421,6.09306638825966
113,24031,701422,8.45697605741054
114,24031,701423,8.83290686717887
115,24031,701503,5.883095343295
116,24031,701505,3.85599724014194
117,24031,701506,5.07096690828229
118,24031,701507,6.92739408396367
119,24031,701508,5.26033197911743
120,24031,701509,4.6887121439364
121,24031,701601,3.66702210036945
122,24031,701602,3.17273950433338
123,24031,701701,0.576293566262474
124,24031,701702,1.42492817771032
125,24031,701703,1.59944799452341
126,24031,701704,1.00188065843864
127,24031,701800,0.763407769589151
128,24031,701900,1.70671339282512
129,24031,702000,2.02817102736547
130,24031,702101,2.78584158593434
131,24031,702102,3.12738915413381
132,24031,702200,2.3932720696913
133,24031,702301,2.05155139526491
134,24031,702302,1.97482441906716
135,24031,702401,1.26293496159596
136,24031,702402,1.22812733172756
137,24031,702500,0.774104054976777
138,24031,702601,0.598703506658379
139,24031,702602,0.803687803302824
140,24031,702700,1.35036475316339
141,24031,702800,1.4789837577336
142,24031,702900,1.53482470388586
143,24031,703000,2.48106492441117
144,24031,703100,2.99031927741619
145,24031,703201,7.23559376933575
146,24031,703202,8.17798076172632
147,24031,703206,6.10806074927641
148,24031,703207,4.72644677636268
149,24031,703208,4.51854070186407
150,24031,703209,3.73081247819558
151,24031,703210,3.53136232503799
152,24031,703212,6.33501506435914
153,24031,703213,7.50919998822222
154,24031,703214,7.10137712656737
155,24031,703215,6.93513796682111
156,24031,703216,7.97033869267652
157,24031,703218,8.62566365266004
158,24031,703219,8.3744817863284
159,24031,703220,7.73713918388917
160,24031,703221,8.48862332669257
161,24031,703301,6.59024997273264
162,24031,703302,6.56231273477194
163,24031,703401,5.7362507675516
164,24031,703402,6.07172652723244
165,24031,703403,5.45279125638471
166,24031,703404,5.11818258435186
167,24031,703501,5.47211332924747
168,24031,703502,4.34636872454766
169,24031,703601,4.25042429051728
170,24031,703602,3.46424200632562
171,24031,703701,4.8958617326415
172,24031,703702,4.50074576354862
173,24031,703800,3.64132237509612
174,24031,703901,2.44051672938771
175,24031,703902,3.22308812925834
176,24031,704000,2.66176014042693
177,24031,704100,2.94926529253331
178,24031,704200,3.44317880820766
179,24031,704300,3.90542448017155
180,24031,704401,4.56717685734669
181,24031,704403,3.9427869179261
182,24031,704404,3.52345761362027
183,24031,704501,4.99445800196273
184,24031,704502,4.65161915968421
185,24031,704503,3.86053134273798
186,24031,704600,3.3512700814701
187,24031,704700,2.39949128968844
188,24031,704803,1.63881093497658
189,24031,704804,1.75633624987764
190,24031,704805,1.90786034457039
191,24031,704806,2.28031145579021
192,24031,705000,2.51002748353803
193,24031,705100,1.80581219763953
194,24031,705200,0.836336474485263
195,24031,705300,0.568311001355181
196,24031,705400,1.16054899591273
197,24031,705501,0.891381079494808
198,24031,705502,1.58836363908759
199,24031,705601,0.845174127835304
200,24031,705602,0.725776769988618
201,24031,705701,1.86999028378496
202,24031,705702,1.22125305755975
203,24031,705800,2.77303682508106
204,24031,705901,4.30714691616271
205,24031,705902,3.54247475713585
206,24031,705903,2.90902749788395
207,24031,706005,7.10321603798026
208,24031,706007,9.51252596725219
209,24031,706008,7.70490970051356
210,24031,706009,6.39777064583798
211,24031,706010,6.63210677474054
212,24031,706011,7.56260647777574
213,24031,706012,6.10592385585567
214,24031,706013,5.64406102588968
215,24033,800102,12.6100931052777
216,24033,800103,12.7582598342561
217,24033,800105,11.9755081745867
218,24033,800106,11.2516750450597
219,24033,800108,11.9631584985515
220,24033,800109,11.9293808183138
221,24033,800203,10.9323833054716
222,24033,800206,10.7290742476698
223,24033,800208,10.0867798994582
224,24033,800209,11.8871417211317
225,24033,800210,11.2007857406512
226,24033,800211,11.7058672300903
227,24033,800212,9.75478051791459
228,24033,800213,11.3844160265588
229,24033,800214,11.0077205463077
230,24033,800215,10.4823410918422
231,24033,800401,12.4426743016389
232,24033,800402,11.1981498004804
233,24033,800403,11.4184708462005
234,24033,800408,8.01428094838706
235,24033,800409,9.7259570586085
236,24033,800410,11.3045710762517
237,24033,800411,10.2505312311077
238,24033,800412,7.22672969433699
239,24033,800413,7.89056159417649
240,24033,800504,11.9715259700995
241,24033,800505,11.0279900096423
242,24033,800507,11.4922526260578
243,24033,800509,7.9898290837957
244,24033,800511,10.2880204798637
245,24033,800513,9.69290843343125
246,24033,800514,8.34545898670855
247,24033,800515,9.99276650686092
248,24033,800516,10.8296514104154
249,24033,800517,8.43887674621127
250,24033,800518,8.44078265838828
251,24033,800519,10.7222250980316
252,24033,800520,11.0603999552907
253,24033,800601,11.9095394706867
254,24033,800604,11.5645963027652
255,24033,800605,11.1449748595019
256,24033,800606,9.51361250756028
257,24033,800607,8.14173129075227
258,24033,800608,9.86005555609198
259,24033,800701,6.19492677389386
260,24033,800704,10.6029912939311
261,24033,800705,11.3174904317677
262,24033,800706,9.4510557347115
263,24033,800707,9.03808762271472
264,24033,800800,15.9396656073877
265,24033,800900,21.3014065438943
266,24033,801003,12.5863748917576
267,24033,801004,10.5588501471804
268,24033,801005,9.68931172090986
269,24033,801006,10.1418791744621
270,24033,801104,5.89502189984087
271,24033,801207,8.55332522420535
272,24033,801208,8.00543859444816
273,24033,801209,8.17506883241756
274,24033,801210,5.69507398031881
275,24033,801211,5.68045540656432
276,24033,801212,4.81617204151253
277,24033,801213,4.79508563821131
278,24033,801214,7.31794311861998
279,24033,801215,8.76223287524502
280,24033,801216,6.82916297822546
281,24033,801217,7.117060966672
282,24033,801302,9.63545622088717
283,24033,801305,4.44339591558829
284,24033,801307,5.50069447594189
285,24033,801308,6.82488523738554
286,24033,801309,7.12867582788542
287,24033,801310,10.5886680547937
288,24033,801311,8.05313839477215
289,24033,801312,7.03058458455123
290,24033,801313,5.35500230712926
291,24033,801404,1.98810208217267
292,24033,801405,1.98983942910985
293,24033,801406,3.43338418857364
294,24033,801407,3.5396267156036
295,24033,801408,2.64414597210942
296,24033,801409,2.70168432837126
297,24033,801410,3.92627753940521
298,24033,801411,3.22392837494574
299,24033,801500,0.935907895042662
300,24033,801600,0.448943022428832
301,24033,801701,3.06361948266249
302,24033,801702,2.30783096782408
303,24033,801704,0.893941637930885
304,24033,801706,1.66904081189275
305,24033,801707,1.18734025756055
306,24033,801708,1.80318989470554
307,24033,801801,1.80634845574649
308,24033,801802,1.47206934309517
309,24033,801804,0.929400508532969
310,24033,801805,0.8906661524436
311,24033,801807,0.64282085407819
312,24033,801808,1.07407602349762
313,24033,801901,3.60738431805522
314,24033,801904,4.31263276538141
315,24033,801905,3.43988671841069
316,24033,801906,4.16267386768716
317,24033,801907,2.42854354607658
318,24033,801908,1.27345546806159
319,24033,802001,2.47630786531442
320,24033,802002,2.29069692870459
321,24033,802103,3.07421062652415
322,24033,802104,4.07304129224557
323,24033,802106,3.41601099050493
324,24033,802107,3.00436864627079
325,24033,802201,4.56302464032368
326,24033,802203,3.690181888711
327,24033,802204,3.42679919469016
328,24033,802301,2.63442985657925
329,24033,802404,2.30249154441929
330,24033,802405,1.04998941521291
331,24033,802406,1.69753500054926
332,24033,802407,1.91553994340043
333,24033,802408,1.27508147345582
334,24033,802501,0.65338776068231
335,24033,802502,0.772148324368417
336,24033,802600,0.607431929575133
337,24033,802700,0.47170368094517
338,24033,802803,1.28523741421036
339,24033,802804,2.30508975279325
340,24033,802805,1.69672827743182
341,24033,802901,0.85605472744652
342,24033,803001,0.601873165509444
343,24033,803002,1.41491168408229
344,24033,803100,0.781457893899072
345,24033,803200,2.14832455783381
346,24033,803300,2.04601671323779
347,24033,803401,3.06153660840624
348,24033,803402,2.82988137677518
349,24033,803508,3.70634548249308
350,24033,803509,3.12957446987838
351,24033,803512,4.93951298953239
352,24033,803513,5.00308000930142
353,24033,803514,4.36470410146142
354,24033,803516,6.73795731208404
355,24033,803519,3.23862464455083
356,24033,803520,6.04914489132703
357,24033,803521,4.8736620673177
358,24033,803522,5.93743621069412
359,24033,803523,5.65188748623537
360,24033,803524,2.12739157900728
361,24033,803525,2.7491707836552
362,24033,803526,6.14509156864068
363,24033,803527,5.40234198612517
364,24033,803601,4.88776792912604
365,24033,803602,4.16293775226808
366,24033,803605,4.98433481888451
367,24033,803606,6.09120511938041
368,24033,803607,6.52944640336175
369,24033,803608,5.43768998927246
370,24033,803610,4.87179704673725
371,24033,803612,4.3466540198578
372,24033,803613,4.43616563148218
373,24033,803700,3.54276625765525
374,24033,803801,3.10424025114707
375,24033,803803,3.79208281964237
376,24033,803900,2.51069736787134
377,24033,804001,2.74637228041613
378,24033,804002,1.71260300629545
379,24033,804101,2.05057645856677
380,24033,804102,2.78896393495717
381,24033,804200,1.54490526977782
382,24033,804300,1.38392731391925
383,24033,804400,0.816840589097736
384,24033,804600,1.12503480567151
385,24033,804700,0.658985795575639
386,24033,804801,0.589805254606603
387,24033,804802,1.12903501848041
388,24033,804900,0.65324863779714
389,24033,805000,0.828192703891629
390,24033,805101,1.21168127713196
391,24033,805201,0.561024803947856
392,24033,805202,1.09411250756757
393,24033,805500,1.69419548547086
394,24033,805601,2.12929021822178
395,24033,805602,2.25180246440586
396,24033,805700,2.46138807166795
397,24033,805801,2.13302573157807
398,24033,805802,1.65833140793053
399,24033,805904,3.01999996350775
400,24033,805906,3.2947829709093
401,24033,805907,3.05200303280775
402,24033,805908,2.43948320743442
403,24033,805909,2.37254526876477
404,24033,806000,1.83236824475556
405,24033,806100,1.73782498549824
406,24033,806200,1.95094772323418
407,24033,806300,2.13462695652344
408,24033,806400,3.00797780577485
409,24033,806501,2.73312345713204
410,24033,806601,3.1960056841039
411,24033,806602,3.79580814388348
412,24033,806706,5.41292224163279
413,24033,806708,6.8209595330204
414,24033,806710,6.18052722302021
415,24033,806711,6.69718898564942
416,24033,806712,7.55877484052276
417,24033,806713,5.89499428234673
418,24033,806714,5.70539299300096
419,24033,806800,4.910180731884
420,24033,806900,5.63765211243204
421,24033,807000,4.61327979545038
422,24033,807102,3.62329879707807
423,24033,807200,3.7714513936799
424,24033,807301,4.62775857200152
425,24033,807304,4.76883586913541
426,24033,807305,3.96754664077713
427,24033,807404,7.27396585661375
428,24033,807405,6.4852878021505
429,24033,807407,8.33820900155154
430,24033,807408,8.08201373143085
431,24033,807409,5.87112275337463
432,24033,807410,6.29081948368787
